排名,车名,销量,月份
166,瑞虎3x,3209,03
167,深蓝L07,3204,03
168,丰田bZ3,3202,03
169,极氪009,3157,03
170,英仕派,3153,03
171,QQ冰淇淋,3129,03
172,思域,3125,03
173,eπ007,3052,03
174,长安启源Q05,3042,03
175,坦克300新能源,3039,03
176,凯迪拉克XT5,3010,03
177,奥迪Q3,3009,03
178,极氪001,2976,03
179,蔚来ET5T,2968,03
180,瑞虎9,2963,03
181,夏,2961,03
182,传祺M6,2896,03
183,小蚂蚁,2878,03
184,凌渡,2863,03
185,曹操60,2859,03
186,eπ008,2841,03
187,五菱荣光,2730,03
188,捷途大圣,2727,03
189,马自达CX-5,2700,03
190,坦克400新能源,2627,03
191,海豹05 DM-i,2590,03
192,锐界,2568,03
193,海豹07 DM-i,2555,03
194,捷途山海T2,2550,03
195,铂智3X,2490,03
196,捷途X90,2477,03
197,北京越野BJ40,2476,03
198,奇骏,2467,03
199,传祺E8新能源,2448,03
200,奕跑,2430,03
201,宋L EV,2425,03
202,奔驰A级,2411,03
203,揽巡,2394,03
204,星纪元 ES,2373,03
205,奔腾B70,2351,03
206,宝马i3,2350,03
207,长安启源A05,2300,03
208,奥迪A7L,2150,03
209,ID.4 CROZZ,2144,03
210,阿维塔12,2111,03
211,瑞驰新能源EC75,2093,03
212,奥德赛,2048,03
213,奕炫,2018,03
214,银河E8,2016,03
215,豹8,2015,03
216,ID.4 X,2000,03
217,iCAR 03,2000,03
218,红旗HS3,1993,03
219,红旗HS3 PHEV,1993,03
220,岚图FREE,1969,03
221,小鹏G6,1957,03
222,风云A8,1940,03
223,马自达3 昂克赛拉,1901,03
224,普拉多,1884,03
225,五菱佳辰,1829,03
226,型格,1818,03
227,小鹏G9,1818,03
228,领克07 EM-P,1792,03
229,蓝电E5,1772,03
230,宝马iX1,1752,03
231,威朗,1749,03
232,传祺GS4,1744,03
233,沃尔沃S60,1708,03
234,腾势N9,1708,03
235,宝马iX3,1697,03
236,菱智,1675,03
237,枫叶60s,1665,03
238,别克GL8新能源,1664,03
239,smart精灵#1,1659,03
240,长安X7 PLUS,1656,03
241,马自达EZ-6,1633,03
242,一汽-大众CC,1619,03
243,极氪007,1611,03
244,MG7,1600,03
245,威然,1572,03
246,蔚来EC6,1546,03
247,豪越L,1526,03
248,吉利ICON,1517,03
249,风云T8,1513,03
250,智己L6,1501,03
251,航海家,1496,03
252,赛图斯,1489,03
253,红旗H6,1446,03
254,小麒麟,1430,03
255,艾瑞泽5,1419,03
256,长安之星,1398,03
257,欧拉好猫,1390,03
258,捷途山海L7,1386,03
259,传祺GS8,1385,03
260,北京X7,1381,03
261,缤瑞,1326,03
262,蔚来ET5,1325,03
263,岚图知音,1322,03
264,皓瀚,1320,03
265,捷达VS7,1311,03
266,锐胜王牌M7,1304,03
267,212 T01,1290,03
268,知豆彩虹,1276,03
269,传祺向往S7,1270,03
270,比亚迪e2,1269,03
271,捷途山海T1,1266,03
272,沃尔沃S90,1261,03
273,哈弗H9,1241,03
274,凡尔赛C5 X,1221,03
275,别克E5,1204,03
276,海豹,1194,03
277,宝骏云海,1154,03
278,库斯途,1123,03
279,狮铂拓界,1119,03
280,北汽新能源EU,1104,03
281,索纳塔,1093,03
282,领睿,1079,03
283,问界M5,1064,03
284,探险者,1062,03
285,启辰VX6,1062,03
286,金海狮,1051,03
287,深蓝G318,1046,03
288,星途凌云,1041,03
289,秦新能源,1037,03
290,极石01,1028,03
291,腾势Z9GT,1025,03
292,小鹏X9,1021,03
293,瑞风M3,1014,03
294,荣威RX5,982,03
295,奔驰V级,980,03
296,途胜,973,03
297,零跑C01,969,03
298,智界S7,962,03
299,深蓝SL03,944,03
300,长安UNI-K,923,03
301,威霆,919,03
302,荣威RX5新能源,918,03
303,理想MEGA,916,03
304,捷途山海L9,906,03
305,瑞虎9 C-DM,895,03
306,大通G50,890,03
307,宝骏悦也Plus,883,03
308,凯翼昆仑,877,03
309,冒险家,875,03
310,揽境,871,03
311,哈弗H5,870,03
312,五菱星驰,869,03
313,艾力绅,845,03
314,宝马i5,842,03
315,海狮05 EV,841,03
316,领克900,823,03
317,奥迪Q4 e-tron,810,03
318,星海S7,810,03
319,昊铂HT,793,03
320,锐际,790,03
321,林肯Z,785,03
322,凯翼拾月,782,03
323,科鲁泽,780,03
324,红旗H9,770,03
325,揽胜极光,767,03
326,领克01,761,03
327,MG ES5,752,03
328,享界S9,751,03
329,奥迪Q5 e-tron,750,03
330,福特烈马,741,03
331,世纪,731,03
332,极氪X,727,03
333,发现运动,703,03
334,奥迪Q6,700,03
335,领克09,685,03
336,影豹,673,03
337,睿蓝汽车X3 PRO,670,03
338,红旗HS7 PHEV,656,03
339,皓极,650,03
340,微蓝6,637,03
341,雅阁新能源,636,03
342,沃尔沃XC60插电式混动,627,03
343,奔驰GLA,624,03
344,大众ID.7 VIZZION,621,03
345,奥迪Q2L,613,03
346,宝骏悦也,602,03
347,飞度,590,03
348,马自达CX-50行也,589,03
349,威飒,588,03
350,探陆,588,03
