排名,车名,销量,月份
416,腾势Z9,317,04
417,凯迪拉克XT4,316,04
418,阿维塔11,316,04
419,凯迪拉克GT4,312,04
420,魏牌 高山,304,04
421,昊铂HL,303,04
422,腾势N7,302,04
423,柯珞克,300,04
424,标致408X,300,04
425,易至EV3,299,04
426,凯迪拉克XT6,298,04
427,马自达CX-30,290,04
428,大蚂蚁,288,04
429,爱跑,288,04
430,本田XR-V,286,04
431,北京越野BJ60,280,04
432,启辰大V DD-i,276,04
433,奔驰EQB,275,04
434,启辰D60,274,04
435,凯迪拉克CT6,271,04
436,哈弗二代大狗新能源,271,04
437,SWM斯威X3,267,04
438,凌放HARRIER,264,04
439,捷豹XEL,263,04
440,长安UNI-T,263,04
441,皓影新能源,261,04
442,e:NP2 极湃2,257,04
443,红旗天工05,257,04
444,瑞虎8 PLUS 鲲鹏e+,256,04
445,羿,254,04
446,智跑,250,04
447,捷豹XFL,245,04
448,纳米06,244,04
449,胜达,238,04
450,星途瑶光,234,04
451,炫界Pro,234,04
452,大通G50插电混动,231,04
453,firefly萤火虫,231,04
454,五菱星辰,228,04
455,星海V9,227,04
456,比亚迪e3,226,04
457,艾瑞泽e,219,04
458,坦克500,218,04
459,风云T10,217,04
460,瑶光C-DM,216,04
461,飞凡F7,211,04
462,长安欧尚Z6,210,04
463,风光380,205,04
464,荣威iMAX8,203,04
465,锐程PLUS,198,04
466,标致5008,194,04
467,五菱征程,191,04
468,悦翔,190,04
469,荣威D6,188,04
470,沃尔沃S90插电式混动,187,04
471,奥迪Q3 Sportback,183,04
472,本田e:NS1,175,04
473,红旗天工06,172,04
474,捷途X70S EV,168,04
475,标致508,167,04
476,探岳X,166,04
477,魏牌 摩卡新能源,166,04
478,瑞风E3,165,04
479,蔚来EC7,164,04
480,星途追风,163,04
481,红旗E-HS9,160,04
482,飞行家,159,04
483,沃尔沃XC40,156,04
484,领克06 EM-P,155,04
485,IQ锐歌,153,04
486,领裕,151,04
487,长安欧尚Z6新能源,148,04
488,创维EV6,147,04
489,起亚K5,145,04
490,奔驰EQA,145,04
491,凌宝uni,145,04
492,猎光e:NS2,144,04
493,昂科旗,139,04
494,天逸 C5 AIRCROSS,138,04
495,极狐 阿尔法T,136,04
496,菱智新能源,130,04
497,小鹏P7,130,04
498,睿蓝7,130,04
499,帕拉丁,128,04
500,SWM斯威G05,126,04
501,嘉华,125,04
502,奔腾T90,123,04
503,仰望U8,121,04
504,领克09 EM-P,119,04
505,大家9,118,04
506,别克E4,118,04
507,星途揽月,117,04
508,凌尚,115,04
509,大家7,114,04
510,风光MINIEV,113,04
511,勇士,112,04
512,轩度EV,112,04
513,奔驰EQE,111,04
514,创维HT-i,110,04
515,智己LS7,109,04
516,极氪MIX,109,04
517,铂智4X,107,04
518,翼真L380,107,04
519,元宝,105,04
520,理想MEGA,103,04
521,途睿欧,102,04
522,风行S50EV,102,04
523,星瑞L,101,04
524,明锐,98,04
525,红旗HQ9,95,04
526,护卫舰07,93,04
527,长安启源E07,93,04
528,领途E-M8,92,04
529,探界者Plus,89,04
530,灵悉L,87,04
531,长安CS95,84,04
532,昊铂GT,84,04
533,AION LX,81,04
534,沃尔沃EX30,80,04
535,探界者,79,04
536,大众ID.7 VIZZION,79,04
537,花仙子,77,04
538,英菲尼迪QX60,73,04
539,嘉际,72,04
540,电动MINI ACEMAN,71,04
541,瑞风RF8 PHEV,70,04
542,睿蓝8,70,04
543,江淮QX PHEV,67,04
544,飞凡R7,63,04
545,东风本田S7,62,04
546,荣威Ei5,54,04
547,极狐 阿尔法S,52,04
548,星途追风C-DM,52,04
549,捷豹E-PACE,51,04
550,LIFE,50,04
551,风光330,49,04
552,风行T5 EVO,49,04
553,大通G70,44,04
554,劲客,42,04
555,长安欧尚520,41,04
556,柯迪亚克,40,04
557,启辰星,36,04
558,合创V09,36,04
559,MG Cyberster,35,04
560,IQ傲歌,34,04
561,江淮X8 E家,34,04
562,VGV U70,33,04
563,雷丁芒果,32,04
564,智己L7,31,04
565,e:NP1 极湃1,31,04
566,MG6,31,04
567,瑞风RF8,30,04
568,风行T5,28,04
569,欧拉芭蕾猫,28,04
570,沃尔沃EM90,28,04
571,长安UNI-K 智电iDD,27,04
572,吉利几何E萤火虫,27,04
573,星迈罗,27,04
574,宝骏KiWi EV,26,04
575,SWM斯威大虎,26,04
576,英菲尼迪QX50,25,04
577,影酷,24,04
578,传祺ES9,24,04
579,比亚迪D1,23,04
580,枫叶80v,23,04
581,本田CR-V新能源,22,04
582,悦01,22,04
583,合创Z03,21,04
584,红旗国雅,21,04
585,标致4008,20,04
586,标致2008,19,04
587,风光E3,19,04
588,风行游艇,18,04
589,大通G90,18,04
590,领地,18,04
591,红旗HS7,17,04
592,开拓者,17,04
593,奔腾T77,16,04
594,欧拉闪电猫,16,04
595,英仕派新能源,16,04
596,迈锐宝XL,15,04
597,风行雷霆,15,04
598,江淮X8 PLUS,15,04
599,仰望U9,14,04
600,红旗国耀,13,04
601,凌派,12,04
602,迈腾GTE插电混动,12,04
603,奕泽IZOA,11,04
604,海马7X新能源,11,04
605,大家5,11,04
606,绅宝D50,10,04
607,风光S560,10,04
608,捷途山海L6,10,04
609,风光580,9,04
610,五菱荣光EV,9,04
611,合创A06,9,04
612,MG4 EV,8,04
613,途安,7,04
614,畅巡,7,04
615,ARIYA艾睿雅,7,04
616,北京越野BJ80,6,04
617,宝马1系,6,04
618,宝马5系新能源,6,04
619,途观L新能源,6,04
620,菲斯塔,6,04
621,风光E380,6,04
622,炫界Pro EV,6,04
623,宝马X2,5,04
624,凯迪拉克CT4,5,04
625,ZR-V 致在,5,04
626,奔腾M9,5,04
627,亚洲狮,4,04
628,MG ONE,4,04
629,焕驰,3,04
630,长安之星9EV,3,04
631,魔方,3,04
632,富康ES600,3,04
633,Polo,2,04
634,红旗国礼,2,04
635,丰田C-HR,2,04
636,启辰D60EV,2,04
637,昂科拉GX,2,04
638,风光500,2,04
639,福特电马,2,04
640,ID.6 X,2,04
641,一汽丰田bZ4X,2,04
642,启腾M70,1,04
643,途达,1,04
644,领克05,1,04
645,探影,1,04
646,威兰达新能源,1,04
647,元Pro,1,04
648,揽胜极光新能源,1,04
649,蔚来ES7,1,04
650,五菱Air ev晴空,1,04
651,昂扬,1,04
652,昊铂SSR,1,04
